State_Name,State_District_Name,Population_Rural,Population_Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Femal Rural,Fever FemaleUrban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Womene Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Assam,Barpeta,60293,4313,67.2,74.5,4.2,5.5,76.7,71.8,61.9,63.6,93.4,94.5,792,516,734,797,252,282,349,149,2693,2864,2772,2390,4002,3756,4210,3735,95.6,98.1,96.8,98.8,94.4,97.3,34.7,25.7,34.8,25.3,34.6,26,63.5,83.2,30.3,31.2,98.8,99.4,88.7,74.2
Assam,Bongaigaon,73899,10113,71.9,91.7,3.5,2.1,79,84.4,52.8,47.9,94.2,95.8,365,220,389,273,633,519,678,483,3081,1038,3250,1556,4534,1876,4978,2565,96,93.5,96.3,93.6,95.6,93.4,47.8,40.6,50.1,51.1,45.5,32.5,59.8,91.1,46,74.5,99.5,100,89.2,95.2
Assam,Cachar,112171,14987,80.1,91.3,2.6,2.9,80.3,79.9,63.9,67.3,94.1,94.2,3949,1766,3614,1538,4539,3533,4673,4097,10731,8432,9375,11061,20040,14794,18737,17620,91.4,92.7,91.6,91.8,91.3,93.5,27.7,27.9,24.4,17.4,31.1,36.7,71.2,87.1,77.2,87.8,98.4,91.6,88.1,81.8
Assam,Darrang,28256,792,75.7,NA,5.4,NA,71.1,NA,56.1,NA,93,NA,271,NA,312,NA,444,NA,471,NA,1837,NA,2375,NA,3143,NA,3779,NA,94.2,NA,95.4,NA,93.2,NA,54.6,NA,54.5,NA,54.7,NA,77.8,NA,84.6,NA,98.9,NA,94.6,NA
Assam,Dhemaji,66537,8914,78.5,78.6,7.6,6,77,83,65.9,75.8,91.4,93.1,607,525,648,414,1599,1553,1725,1609,2496,2626,2891,3120,5438,5685,6292,6386,90.3,94.5,91.3,95.6,89.4,93.5,56,42.9,56.7,41.6,55.4,44.1,82.2,92.7,59.8,65.3,97,98.5,90.6,89.1
Assam,Dhubri,46337,4655,59.1,88.3,8.4,2.9,59.9,84.5,46.9,66,89.2,96.1,848,438,799,504,810,394,586,596,3016,1971,3522,1787,5125,3898,5575,3621,96.3,91.7,96.2,94.4,96.4,88.6,24.2,47.4,24.3,45.2,24.1,50,46.2,97.9,23.9,35,98.5,99.8,89.1,98.5
Assam,Dibrugarh,76433,20835,93.3,95.4,0.9,0.7,92.7,94.7,81.5,85.8,97.3,98.5,1628,1063,1535,957,7971,7608,9236,9277,6189,2520,6912,2367,16372,11535,18583,13317,83.3,83.3,83.8,86.5,82.9,80.3,51.8,33.2,51.2,32.1,52.3,34.3,89.6,97.6,75.6,83.3,99,99.5,96.3,94.8
Assam,Goalpara,70273,5617,71.7,78,4.6,2.8,72.4,68.9,47.3,37.3,91.8,92.1,1056,284,1556,732,431,319,653,270,2912,1774,3218,2120,4822,2945,5966,3624,96.3,97.7,96.4,97.6,96.3,97.9,54.6,54.9,54.7,55.6,54.4,54.3,72.7,80,52.5,64.2,97.4,99,91.9,92.7
Assam,Golaghat,64579,7586,80,84.4,1.1,4,89.5,87.6,69.2,71.6,96.7,95.5,2083,1966,2220,1790,9529,6456,10431,7388,5083,2949,4497,2870,17028,11583,17527,12219,87.2,83,88.7,81.9,85.6,84.4,54.6,41.4,55.8,41.7,53.3,41,82.4,95.4,92.9,98.8,91.3,99.4,92.1,94.6
Assam,Hailakandi,11986,1906,78.9,NA,7.9,NA,78.3,NA,67.6,NA,88.7,NA,4222,NA,3701,NA,13004,NA,13308,NA,2156,NA,2542,NA,19610,NA,19810,NA,91.3,NA,94.3,NA,88.2,NA,27.1,NA,24.9,NA,29.6,NA,94.9,NA,81.9,NA,98.8,NA,98.2,NA
Assam,Jorhat,136355,36603,84.1,87.8,1.3,1.2,90.3,90.6,71.8,67.2,96.8,97.3,1920,1429,2109,1604,10952,9188,11575,11551,3139,2596,3875,2859,16968,14017,18753,16890,84.7,92.2,86.8,90.8,82.7,93.4,42.1,18.1,44.2,13.9,40.1,21.6,79.7,92.3,94,97.4,97.6,97.7,91.3,91.7
Assam,Kamrup,97320,69962,84.8,87.7,0.9,1.9,87.1,90,59.1,71.6,97.9,97.6,739,489,843,484,560,393,739,459,3153,2105,3587,2555,5006,3491,5821,4225,96.5,91.9,96.7,92.4,96.3,91.5,57.2,26.8,58.1,25.4,56.3,28,80.5,95.6,42.7,81.2,99,99.6,60.8,71.3
